Id,Label,Type,Glass,Origin_State,Origin_Country,Interest_Rating,Average_Time,Taste_Profile,CommunityID
lemon drop crusta,lemon drop crusta,Cocktail,Flute glass,,,4.5,8.0,spirity,1
rodrigo's cadillac margarita (aka grand margarita),rodrigo's cadillac margarita (aka grand margarita),Cocktail,Coupe glass,,,4.5,8.0,mellow,5
cardamom whiskey sout,cardamom whiskey sout,Cocktail,Coupe glass,,,4.4,8.0,vanilla,1
pierre collins,pierre collins,Cocktail,Collins glass,,,4.0,8.0,aromatic,1
honey bee mine,honey bee mine,Cocktail,Coupe glass,,,4.0,8.0,dry,5
banana havana highball,banana havana highball,Cocktail,Highball (max 10oz/300ml),,,4.0,8.0,tangy,0
maple hickory negroni,maple hickory negroni,Cocktail,Old-fashioned glass,,,,8.0,aromatic,3
banana cart,banana cart,Cocktail,Coupe glass,,,,8.0,sweet,5
hop toad no.2,hop toad no.2,Cocktail,Coupe glass,,,4.67,7.67,rummy,3
sugar my plums,sugar my plums,Cocktail,Nick & Nora glass,,,4.65,7.67,umami,6
melon margarita no.2 (served frozen),melon margarita no.2 (served frozen),Cocktail,Coupe glass,,,4.58,7.67,sweet,5
fat godfather,fat godfather,Cocktail,Old-fashioned glass,,,4.83,7.6,dry,3
french kiss no.1,french kiss no.1,Cocktail,Martini glass,,,5.0,7.5,tangy,5
madras,madras,Cocktail,Collins glass,,India,5.0,7.5,tangy,5
tiramisu cocktail,tiramisu cocktail,Cocktail,Martini glass,Veneto,Italy,5.0,7.5,aromatic,0
watermelon & basil cocktail,watermelon & basil cocktail,Cocktail,Coupe glass,,,5.0,7.5,dry,1
the caitlin peach,the caitlin peach,Cocktail,Coupe glass,,,5.0,7.5,vanilla,3
rosé 75,rosé 75,Cocktail,Coupe glass,,France,5.0,7.5,savory,1
courtney's espresso martini,courtney's espresso martini,Cocktail,Martini glass,,,5.0,7.5,spirity,0
passione corsa,passione corsa,Cocktail,Collins glass,,,5.0,7.5,succulent,4
stuart's honey bee,stuart's honey bee,Cocktail,Martini glass,,,4.95,7.5,old,4
baby guinness,baby guinness,Cocktail,Shot glass,Leinster,Ireland,4.9,7.5,coffee,0
pink grapefruit margarita - less agave syrup,pink grapefruit margarita - less agave syrup,Cocktail,Coupe glass,,,4.87,7.5,mellow,5
cherry ginger cocktail,cherry ginger cocktail,Cocktail,Martini glass,,,4.8,7.5,plummy,1
mister howell,mister howell,Cocktail,Coupe glass,,,4.77,7.5,Unknown,3
chocolate mint martini,chocolate mint martini,Cocktail,Martini glass,,United States,4.75,7.5,spirity,3
melon margarita no.1 (served 'up'),melon margarita no.1 (served 'up'),Cocktail,Coupe glass,,,4.65,7.5,sweet,5
pineapple & ginger cocktail,pineapple & ginger cocktail,Cocktail,Martini glass,,,4.65,7.5,spirity,1
apple mac,apple mac,Cocktail,Martini glass,,,4.62,7.5,dry,3
summer dreamsicle,summer dreamsicle,Cocktail,Nick & Nora glass,,,4.6,7.5,citrusy,4
great gatsby,great gatsby,Cocktail,Old-fashioned glass,Lubusz Voivodeship,Poland,4.5,7.5,tarty,1
great gatsby (léo stepien),great gatsby (léo stepien),Cocktail,Old-fashioned glass,Lubusz Voivodeship,United States,4.5,7.5,tarty,4
cherry caipiroska,cherry caipiroska,Cocktail,Rocks glass,,Brazil,4.35,7.5,spirity,1
vanilla espresso martini,vanilla espresso martini,Cocktail,Martini glass,,,4.25,7.5,vanilla,0
pan galactic gargle blaster,pan galactic gargle blaster,Cocktail,Martini (large 10oz) glass,Wyoming,United States,3.65,7.5,tangy,1
marmalade sour,marmalade sour,Cocktail,Old-fashioned glass,British Columbia,Canada,3.5,7.5,watery,1
jack frost no.1,jack frost no.1,Cocktail,Old-fashioned glass,,,4.37,7.4,whisky,5
bakewell fizz,bakewell fizz,Cocktail,Flute glass,,,5.0,7.33,floral,4
bee simple,bee simple,Cocktail,Sling glass,,,4.7,7.33,floral,6
grape delight,grape delight,Cocktail,Martini glass,,,4.5,7.33,tarty,1
penicillin cocktail,penicillin cocktail,Cocktail,Old-fashioned glass,Thuringia,Germany,4.8,7.25,dry,3
gin fizz,gin fizz,Cocktail,Highball (max 10oz/300ml),,,5.0,7.0,dry,1
silk stocking cocktail,silk stocking cocktail,Cocktail,Coupe glass,Wisconsin,United States,5.0,7.0,smokey,0
breakfast gimlet,breakfast gimlet,Cocktail,Martini glass,,,5.0,7.0,dry,1
hocus pocus,hocus pocus,Cocktail,Coupe glass,,Japan,5.0,7.0,dry,3
